"region","quintil_riqueza","n","valor","peso_muestral","indicador","indicador_label","tipo_indicador","unidad"
"AMBA","Más rico",210,0.859681416305153,319.652337025592,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Cuyo","Más pobre",158,0.816477618032666,84.4183929393735,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Cuyo","Segundo",187,0.814126314658654,93.3976431939389,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Cuyo","Medio",258,0.838882367160846,112.572624788041,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Cuyo","Cuarto",218,0.927171884686517,86.8581329022464,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Cuyo","Más rico",209,0.836378832620612,72.5058690416913,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NEA","Más pobre",662,0.771456127569332,386.626843039464,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NEA","Segundo",326,0.729336125499348,156.212177543902,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NEA","Medio",171,0.744870126205021,64.250803191633,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NEA","Cuarto",15,0.676534714372635,3.49509684219432,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NEA","Más rico",1,1,0.250470116448621,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NOA","Más pobre",340,0.749284874569162,332.718667858755,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NOA","Segundo",196,0.754934558080491,190.744546393161,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NOA","Medio",183,0.809871760889877,184.349375588006,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NOA","Cuarto",115,0.714119516493416,81.3446472429268,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"NOA","Más rico",56,0.672691537759986,41.9573478743609,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Pampeana","Más pobre",302,0.885542343774392,660.917720887729,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Pampeana","Segundo",275,0.762188496271606,465.072149097583,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Pampeana","Medio",294,0.818043540054313,399.161896780804,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Pampeana","Cuarto",236,0.774032361312724,272.868288062226,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Pampeana","Más rico",293,0.888570372101909,261.69474780994,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Patagonia","Más pobre",37,0.675418929689502,18.0915269595773,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Patagonia","Segundo",58,0.922754760477371,31.1174914127922,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Patagonia","Medio",177,0.808014083801629,77.97698656067,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Patagonia","Cuarto",265,0.803264937050554,107.053012625576,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"Patagonia","Más rico",176,0.918900154566868,62.9440919862088,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
