"region","sexo","quintil_riqueza","edad_grupo","n","peso_muestral","waz_medio","prop_bajo_peso"
"NOA","Varón","Segundo","24-35",15,15.28641276221,-0.0165667965177518,0
"NOA","Varón","Segundo","36-47",20,15.6821825403318,-0.368496436660709,0.131365984684084
"NOA","Varón","Segundo","48-59",25,24.7377592772701,-0.0544276194278868,0.0207547828634873
"NOA","Varón","Medio","0-5",3,5.08015556399936,-1.17165148898855,0.577003116945219
"NOA","Varón","Medio","6-11",8,8.92726485500592,0.442705000665459,0
"NOA","Varón","Medio","12-23",20,15.3308585570538,0.543066729450155,0
"NOA","Varón","Medio","24-35",19,20.6995107644587,0.859407007838559,0.0551107756479554
"NOA","Varón","Medio","36-47",22,26.1965664315115,0.165396451829534,0
"NOA","Varón","Medio","48-59",25,26.7966252597083,0.220316444384343,0.0270003009966208
"NOA","Varón","Cuarto","0-5",6,2.34922877914288,-1.34278726859389,0.412526121444112
"NOA","Varón","Cuarto","6-11",6,3.78460607201138,-0.635817816650363,0
"NOA","Varón","Cuarto","12-23",14,6.46921806091337,0.727865852401602,0
"NOA","Varón","Cuarto","24-35",8,4.15349836126059,-0.202567449795269,0.0490457116791524
"NOA","Varón","Cuarto","36-47",17,12.8139238901684,-0.790096670518662,0.186713496504147
"NOA","Varón","Cuarto","48-59",17,13.8462539565794,0.266509126004509,0
"NOA","Varón","Más rico","0-5",2,4.61326803273352,-1.81197960242523,0.449787592826623
"NOA","Varón","Más rico","6-11",5,3.68893912042207,0.266203669783297,0
"NOA","Varón","Más rico","12-23",2,2.60004802321316,-0.0348793555325121,0
"NOA","Varón","Más rico","24-35",9,5.05980136025607,-0.414014156387593,0
"NOA","Varón","Más rico","36-47",10,7.5940793783419,0.21219033348995,0
"NOA","Varón","Más rico","48-59",5,2.01993106386314,-0.00137186807524614,0
"NOA","Mujer","Más pobre","0-5",16,21.2195888017004,-0.477601217431641,0.0450233555199452
"NOA","Mujer","Más pobre","6-11",20,17.76779142783,0.217402204705295,0.064901837895578
"NOA","Mujer","Más pobre","12-23",37,33.8099799140023,0.56049509849279,0.0514221734094354
"NOA","Mujer","Más pobre","24-35",38,41.1631036116116,0.502984836354992,0
"NOA","Mujer","Más pobre","36-47",28,22.7612907873914,0.0223976497715223,0
"NOA","Mujer","Más pobre","48-59",39,35.3299844552007,-0.0534574569536164,0
"NOA","Mujer","Segundo","0-5",9,9.7853523348524,0.170830453413801,0
"NOA","Mujer","Segundo","6-11",8,8.35479252066632,0.468528597355038,0
"NOA","Mujer","Segundo","12-23",14,15.5945101385813,-0.173526822604523,0
"NOA","Mujer","Segundo","24-35",23,22.570365678637,0.396706629603798,0.0621312134706832
"NOA","Mujer","Segundo","36-47",30,30.3127418307433,0.329137682412426,0.155930479317312
"NOA","Mujer","Segundo","48-59",17,19.2826575319182,0.248190466471532,0
"NOA","Mujer","Medio","0-5",5,6.11119424301442,-1.49391248107297,0.342152571453163
"NOA","Mujer","Medio","6-11",7,6.05856317224025,0.330802006502643,0
"NOA","Mujer","Medio","12-23",14,10.0069168759913,0.0291687597384451,0.0376368068160664
"NOA","Mujer","Medio","24-35",18,18.9267719731812,0.600419113566234,0.0466414782967166
"NOA","Mujer","Medio","36-47",18,19.6038113986432,0.127037224962856,0
"NOA","Mujer","Medio","48-59",24,20.611136493198,0.2424884010467,0
"NOA","Mujer","Cuarto","0-5",2,1.63089368277273,-0.683919982798729,0
"NOA","Mujer","Cuarto","6-11",5,4.28869310524603,1.20507550904752,0
"NOA","Mujer","Cuarto","12-23",12,8.50189003600413,0.751497989612218,0
"NOA","Mujer","Cuarto","24-35",13,13.1513145721547,0.477145196053437,0.0499357739323691
"NOA","Mujer","Cuarto","36-47",6,5.41049086636017,0.453206413978364,0
"NOA","Mujer","Cuarto","48-59",9,4.94463586031306,-0.706676140064441,0.17972278444799
"NOA","Mujer","Más rico","0-5",3,2.69298710448944,1.26305403372554,0
"NOA","Mujer","Más rico","6-11",2,0.421475809052532,1.53829978461412,0
"NOA","Mujer","Más rico","12-23",5,3.2762439444615,1.03511610483024,0
"NOA","Mujer","Más rico","24-35",7,4.21807956876534,-0.346980145768922,0
"NOA","Mujer","Más rico","36-47",2,3.81205191030317,1.39127412478549,0
"NOA","Mujer","Más rico","48-59",4,1.96044255845904,0.307977819086296,0
"Pampeana","Varón","Más pobre","0-5",15,24.3948167286855,-0.59424419852471,0.120825177496864
"Pampeana","Varón","Más pobre","6-11",5,14.9928436394273,0.959041906611069,0
"Pampeana","Varón","Más pobre","12-23",24,46.1483616052936,-0.0292199883478975,0.0117547644196869
"Pampeana","Varón","Más pobre","24-35",31,68.5777217238463,0.558791403320296,0.0577812508830262
"Pampeana","Varón","Más pobre","36-47",43,86.6441738522187,0.133380898018251,0.0150895044653308
"Pampeana","Varón","Más pobre","48-59",37,85.9367133997631,-0.206544783731147,0.138149135124229
"Pampeana","Varón","Segundo","0-5",9,15.7710432294011,-0.428674442486509,0.0459801433739897
"Pampeana","Varón","Segundo","6-11",13,23.1474677581009,0.40469010624575,0.056106337525048
"Pampeana","Varón","Segundo","12-23",39,74.2432920165278,0.579633687279873,0
"Pampeana","Varón","Segundo","24-35",28,42.4652677187338,0.0789178446186174,0.0273201640692532
"Pampeana","Varón","Segundo","36-47",29,37.9862218978568,-0.0282326311718214,0.0295512230183274
"Pampeana","Varón","Segundo","48-59",27,52.889415944889,-0.11631042956101,0.0238197145346847
"Pampeana","Varón","Medio","0-5",14,25.4223022086375,-0.296529699637007,0.0199868738515852
"Pampeana","Varón","Medio","6-11",12,10.3834105154891,1.05057029861289,0.0770357065303545
"Pampeana","Varón","Medio","12-23",32,58.017441774184,-0.0906088548069846,0.105642480686963
"Pampeana","Varón","Medio","24-35",29,45.4112809888222,0.506032193200584,0
"Pampeana","Varón","Medio","36-47",34,53.2534723315472,0.448511093780929,0
"Pampeana","Varón","Medio","48-59",42,51.3456423956896,0.413524465328244,0
"Pampeana","Varón","Cuarto","0-5",7,14.8175303246837,-0.334005808685834,0.0706095984115991
"Pampeana","Varón","Cuarto","6-11",12,8.9138722961665,0.320639522177278,0
"Pampeana","Varón","Cuarto","12-23",16,22.6639156448268,0.45614976868567,0.126960992266645
"Pampeana","Varón","Cuarto","24-35",26,28.032031304408,0.142813479131546,0.0358774288834277
"Pampeana","Varón","Cuarto","36-47",22,35.0835197233424,0.389296195079716,0
"Pampeana","Varón","Cuarto","48-59",25,29.7375825255444,1.3996082553949,0
"Pampeana","Varón","Más rico","0-5",6,3.54649495671553,-1.2000596202379,0.451225854503397
"Pampeana","Varón","Más rico","6-11",12,8.29796974068047,0.673414233906157,0
"Pampeana","Varón","Más rico","12-23",34,31.1068093392878,0.700272996395109,0
"Pampeana","Varón","Más rico","24-35",35,35.9597849939459,0.293899096876175,0.0118149868726928
"Pampeana","Varón","Más rico","36-47",27,21.8547078171704,0.212941915983359,0
"Pampeana","Varón","Más rico","48-59",38,26.3889059953339,0.267643091073666,0.0199140323342631
"Pampeana","Mujer","Más pobre","0-5",8,5.95220521818871,-0.708928836236285,0
"Pampeana","Mujer","Más pobre","6-11",7,26.7943196501069,0.524592626246231,0
"Pampeana","Mujer","Más pobre","12-23",40,92.7980863985478,0.055567357423922,0.0755132879790518
"Pampeana","Mujer","Más pobre","24-35",32,57.7752009780153,0.167631319386239,0.037289304599562
"Pampeana","Mujer","Más pobre","36-47",22,48.5759047693827,-0.457608677576427,0.0094392035572164
"Pampeana","Mujer","Más pobre","48-59",35,97.4883341889719,0.0388530736944542,0.131621091881095
"Pampeana","Mujer","Segundo","0-5",9,21.9858180138214,0.327809064596899,0.0256364466229836
"Pampeana","Mujer","Segundo","6-11",11,15.1330685172596,0.638342455552606,0
"Pampeana","Mujer","Segundo","12-23",26,46.1392878357937,0.485492612866329,0.0481710453547218
"Pampeana","Mujer","Segundo","24-35",30,50.7775684769529,0.951457607787173,0
"Pampeana","Mujer","Segundo","36-47",28,53.4876383310741,-0.425639686739283,0.142881126205211
"Pampeana","Mujer","Segundo","48-59",23,29.1376368586032,-0.0736473903012075,0
"Pampeana","Mujer","Medio","0-5",7,6.37845240348931,0.453472138877459,0
"Pampeana","Mujer","Medio","6-11",8,12.3143909749664,-0.838914856875532,0.0419925754746775
"Pampeana","Mujer","Medio","12-23",28,36.5749655634616,0.365215888339336,0.0148128064192962
"Pampeana","Mujer","Medio","24-35",34,33.7789095051115,0.313475120465794,0.00708318896828768
"Pampeana","Mujer","Medio","36-47",31,37.3255664804395,0.0578508646738708,0
"Pampeana","Mujer","Medio","48-59",23,28.9560616389664,0.441058169473518,0
"Pampeana","Mujer","Cuarto","0-5",8,9.70194622068522,-0.677520633710647,0
"Pampeana","Mujer","Cuarto","6-11",14,14.3837857375813,0.688220803930379,0
"Pampeana","Mujer","Cuarto","12-23",22,26.7214033378055,0.733278682902037,0.0214851540592966
"Pampeana","Mujer","Cuarto","24-35",28,28.1344315526618,0.485224040652347,0.171300829980388
"Pampeana","Mujer","Cuarto","36-47",27,24.2975594259953,0.685374352283832,0.105592070848706
"Pampeana","Mujer","Cuarto","48-59",28,29.9452902845891,0.445027170939751,0
"Pampeana","Mujer","Más rico","0-5",5,5.9730477589862,-1.78177646192704,0.80567060206832
"Pampeana","Mujer","Más rico","6-11",15,17.3801405987151,0.483709026940706,0
"Pampeana","Mujer","Más rico","12-23",30,21.3862281858176,0.250011104496817,0.033306422136566
"Pampeana","Mujer","Más rico","24-35",26,21.7973320283802,0.448123085299769,0.0635575041353857
"Pampeana","Mujer","Más rico","36-47",33,31.7820044287636,0.0764537772394668,0
"Pampeana","Mujer","Más rico","48-59",33,36.5054771342199,0.134306747520058,0.0161643877360161
"Patagonia","Varón","Más pobre","0-5",1,1.13602066100936,-2.29,1
"Patagonia","Varón","Más pobre","6-11",5,3.52015595389027,-0.538595172259454,0
"Patagonia","Varón","Más pobre","12-23",4,1.00977573442312,-0.581021548336531,0.326038183358273
"Patagonia","Varón","Más pobre","24-35",2,0.686690012414952,-0.260712328291295,0
"Patagonia","Varón","Más pobre","36-47",6,5.12759254845275,0.330485806910526,0
"Patagonia","Varón","Más pobre","48-59",5,1.18255205835839,-0.05758689061649,0
"Patagonia","Varón","Segundo","0-5",3,1.51550285269892,-0.362035828984686,0
"Patagonia","Varón","Segundo","6-11",2,0.46197701457882,1.17841579222629,0
"Patagonia","Varón","Segundo","12-23",4,1.80873725135837,0.895220045779637,0
"Patagonia","Varón","Segundo","24-35",8,4.15732466918825,0.786324695613701,0
"Patagonia","Varón","Segundo","36-47",10,4.87745702556709,-0.181414039915592,0.0207835845221641
"Patagonia","Varón","Segundo","48-59",6,2.29212141234013,0.841296896652295,0
"Patagonia","Varón","Medio","0-5",6,3.41494622892789,1.01469492584247,0
"Patagonia","Varón","Medio","6-11",8,3.4775777484449,-0.121128583070994,0
"Patagonia","Varón","Medio","12-23",27,15.5626349910979,0.344749824777416,0
"Patagonia","Varón","Medio","24-35",20,5.78644973127664,0.744954183479324,0
"Patagonia","Varón","Medio","36-47",20,6.58383434263212,-0.141656809481172,0.0683431098184095
"Patagonia","Varón","Medio","48-59",16,7.06654394504876,0.218964298660318,0
"Patagonia","Varón","Cuarto","0-5",6,1.13876352077984,0.36859530916904,0
"Patagonia","Varón","Cuarto","6-11",16,8.77681071723313,0.219780526690602,0.0458283752579509
"Patagonia","Varón","Cuarto","12-23",18,8.04580480818695,1.17415959133238,0
"Patagonia","Varón","Cuarto","24-35",21,11.8747134974787,0.866013813948367,0
"Patagonia","Varón","Cuarto","36-47",27,14.0311940204806,1.59060913349734,0
"Patagonia","Varón","Cuarto","48-59",37,13.6552356316282,-0.0202620787665749,0.0282268373474438
"Patagonia","Varón","Más rico","0-5",3,1.11640884057727,-0.599321774107388,0
"Patagonia","Varón","Más rico","6-11",5,1.05405482794662,0.915976095117809,0
"Patagonia","Varón","Más rico","12-23",22,8.9856077453956,1.32038043262456,0.0192399865077615
"Patagonia","Varón","Más rico","24-35",21,6.73832970792312,0.71704295225657,0
"Patagonia","Varón","Más rico","36-47",21,6.40604944005077,0.920123294632821,0
"Patagonia","Varón","Más rico","48-59",22,6.18198876855642,0.161379018748141,0.0217644052502572
"Patagonia","Mujer","Más pobre","0-5",2,0.534603029308248,-1.27668130377482,0
"Patagonia","Mujer","Más pobre","6-11",2,0.496185746703773,-0.122858331723063,0
"Patagonia","Mujer","Más pobre","12-23",1,0.144537203621474,-0.39,0
"Patagonia","Mujer","Más pobre","24-35",4,2.16262772436323,0.802537794194722,0
"Patagonia","Mujer","Más pobre","36-47",4,1.78678501468123,-0.420864921135062,0
"Patagonia","Mujer","Más pobre","48-59",1,0.304001272350458,0.85,0
"Patagonia","Mujer","Segundo","0-5",2,0.640444498253605,0.86420874963561,0
"Patagonia","Mujer","Segundo","12-23",1,0.213929060856381,1.37,0
"Patagonia","Mujer","Segundo","24-35",7,7.9250841140431,1.13151475611212,0
